Site Name,Continent,Country,Flag,Type,Endangered
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",Europe,Italy,🇮🇹,Cultural,No
Aachen Cathedral,Europe,Germany,🇩🇪,Cultural,No
Aapravasi Ghat,Africa,Mauritius,🇲🇺,Cultural,No
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,Europe,Denmark,🇩🇰,Cultural,No
Abbey Church of Saint-Savin sur Gartempe,Europe,France,🇫🇷,Cultural,No
Abbey and Altenmünster of Lorsch,Europe,Germany,🇩🇪,Cultural,No
Abbey of St Gall,Europe,Switzerland,🇨🇭,Cultural,No
Abu Mena,Africa,Egypt,🇪🇬,Cultural,Endangered
"Acropolis, Athens",Europe,Greece,🇬🇷,Cultural,No
AflajIrrigation Systems of Oman,Asia,Oman,🇴🇲,Cultural,No
Agave Landscape and Ancient Industrial Facilities of Tequila,North America,Mexico,🇲🇽,Cultural,No
Agra Fort,Asia,India,🇮🇳,Cultural,No
Agricultural Landscape of Southern Öland,Europe,Sweden,🇸🇪,Cultural,No
Air and Ténéré Natural Reserves,Africa,Niger,🇳🇪,Natural,Endangered
Ajanta Caves,Asia,India,🇮🇳,Cultural,No
Aksum,Africa,Ethiopia,🇪🇹,Cultural,No
Al Qal'a of Beni Hammad,Africa,Algeria,🇩🇿,Cultural,No
Al Zubarah Archaeological Site,Asia,Qatar,🇶🇦,Cultural,No
"Al-Ahsa Oasis, an Evolving Cultural Landscape",Asia,Saudi Arabia,🇸🇦,Cultural,No
Aldabra Atoll,Africa,Seychelles,🇸🇨,Natural,No
Alejandro de Humboldt National Park,North America,Cuba,🇨🇺,Natural,No
"Alhambra, Generalife and Albayzín, Granada",Europe,Spain,🇪🇸,Cultural,No
Alto Douro Wine Region,Europe,Portugal,🇵🇹,Cultural,No
"Amami-Oshima Island, Tokunoshima Island, Northern part of Okinawa Island, and Iriomote Island",Asia,Japan,🇯🇵,Natural,No
Amiens Cathedral,Europe,France,🇫🇷,Cultural,No
Amphitheatre of El Jem,Africa,Tunisia,🇹🇳,Cultural,No
Ancient Building Complex in the Wudang Mountains,Asia,China,🇨🇳,Cultural,No
Ancient City of Aleppo,Asia,Syria,🇸🇾,Cultural,Endangered
Ancient City of Bosra,Asia,Syria,🇸🇾,Cultural,Endangered
Ancient City of Damascus,Asia,Syria,🇸🇾,Cultural,Endangered
Ancient City of Nessebar,Europe,Bulgaria,🇧🇬,Cultural,No
Ancient City of Ping Yao,Asia,China,🇨🇳,Cultural,No
Ancient City of Polonnaruwa,Asia,Sri Lanka,🇱🇰,Cultural,No
Ancient City of Qalhat,Asia,Oman,🇴🇲,Cultural,No
Ancient City of Sigiriya,Asia,Sri Lanka,🇱🇰,Cultural,No
Ancient City of Tauric Chersonese and its Chora,Europe,Ukraine,🇺🇦,Cultural,No
Ancient Ferrous Metallurgy Sites of Burkina Faso,Africa,Burkina Faso,🇧🇫,Cultural,No
Ancient Jericho/Tell es-Sultan,Asia,Palestine,🇵🇸,Cultural,No
"Ancient Maya City and Protected Tropical Forests of Calakmul, Campeche",North America,Mexico,🇲🇽,Mixed,No
Ancient Thebes with its Necropolis,Africa,Egypt,🇪🇬,Cultural,No
Ancient Villages in Southern Anhui – Xidi and Hongcun,Asia,China,🇨🇳,Cultural,No
Ancient Villages of Northern Syria,Asia,Syria,🇸🇾,Cultural,Endangered
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,Europe,"Albania, Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Croatia, Czechia, France, Germany, Italy, North Macedonia, Poland, Romania, Slovakia, Slovenia, Spain, Switzerland, Ukraine","🇦🇱, 🇦🇹, 🇧🇦, 🇧🇪, 🇧🇬, 🇨🇭, 🇨🇿, 🇩🇪, 🇪🇸, 🇫🇷, 🇭🇷, 🇮🇹, 🇲🇰, 🇵🇱, 🇷🇴, 🇸🇮, 🇸🇰, 🇺🇦",Natural,No
"AncientKsourof Ouadane, Chinguetti, Tichitt and Oualata",Africa,Mauritania,🇲🇷,Cultural,No
Andrefana Dry Forests,Africa,Madagascar,🇲🇬,Natural,No
Angkor,Asia,Cambodia,🇰🇭,Cultural,No
Anjar,Asia,Lebanon,🇱🇧,Cultural,No
